期間指定,2018/01/01～2019/01/01
通貨ペア,"USD/JPY,EUR/JPY,GBP/JPY,AUD/JPY,CHF/JPY,CAD/JPY,NZD/JPY,ZAR/JPY,TRY/JPY"
商品名,商品タイプ,取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,スワップポイント,取引数量,建玉数量
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-02,112.7,112.61,112.795,112.04,112.3,112.3,-0.4,,"17,348","536,390"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-03,112.3,112.24,112.62,112.16,112.5,112.5,0.2,215,"12,399","535,642"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-04,112.5,112.565,112.875,112.475,112.725,112.725,0.225,57,"17,187","535,974"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-05,112.725,112.8,113.34,112.72,113.13,113.11,0.385,,"30,364","537,767"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-08,113.11,113.095,113.4,112.87,113.07,113.07,-0.04,56,"15,907","537,415"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-09,113.07,113.17,113.19,112.35,112.66,112.66,-0.41,59,"37,451","532,155"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-10,112.66,112.64,112.8,111.28,111.455,111.455,-1.205,234,"64,077","528,417"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-11,111.455,111.4,111.88,111.03,111.3,111.3,-0.155,,"40,784","527,576"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-12,111.3,111.245,111.705,110.9,111.025,111.025,-0.275,61,"41,576","526,661"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-15,111.025,111.03,111.2,110.325,110.505,110.505,-0.52,61,"56,750","522,405"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-16,110.505,110.535,111,110.23,110.48,110.48,-0.025,60,"29,917","520,882"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-17,110.48,110.45,111.345,110.18,111.325,111.325,0.845,183,"33,618","522,940"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-18,111.325,111.345,111.495,110.7,111.1,111.1,-0.225,61,"26,289","523,054"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-19,111.1,111.055,111.135,110.475,110.79,110.765,-0.335,61,"22,530","521,972"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-22,110.765,110.58,111.225,110.545,110.95,110.95,0.185,63,"20,256","523,791"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-23,110.95,110.92,111.195,110.24,110.315,110.29,-0.66,63,"36,246","520,261"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-24,110.29,110.27,110.345,108.95,109.25,109.25,-1.04,162,"83,218","533,868"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-25,109.25,109.205,109.705,108.485,109.41,109.41,0.16,52,"73,434","542,467"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-26,109.41,109.645,109.78,108.27,108.71,108.71,-0.7,57,"67,631","549,032"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-29,108.71,108.73,109.215,108.495,108.96,108.96,0.25,61,"36,081","545,037"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-30,108.96,109,109.215,108.4,108.795,108.795,-0.165,62,"30,106","549,467"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-01-31,108.795,108.8,109.45,108.59,109.21,109.21,0.415,176,"29,223","547,101"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-01,109.21,109.215,109.765,109.1,109.38,109.405,0.195,57,"28,315","546,243"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-02,109.405,109.475,110.475,109.27,110.125,110.125,0.72,62,"48,924","532,137"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-05,110.125,110.24,110.3,108.98,109.165,109.165,-0.96,59,"38,464","533,386"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-06,109.165,109.155,109.66,108.445,109.61,109.61,0.445,57,"61,826","536,017"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-07,109.61,109.62,109.72,108.91,109.29,109.29,-0.32,217,"31,912","536,417"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-08,109.29,109.38,109.8,108.58,108.745,108.745,-0.545,55,"42,460","539,877"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-09,108.745,108.8,109.31,108.035,108.73,108.79,0.045,,"56,502","549,380"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-12,108.79,108.87,108.9,108.435,108.665,108.665,-0.125,57,"20,802","549,117"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-13,108.665,108.72,108.79,107.4,107.82,107.82,-0.845,56,"75,851","573,031"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-14,107.82,107.83,107.905,106.71,107.035,107.035,-0.785,208,"86,613","578,643"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-15,107.035,106.985,106.995,106.02,106.13,106.13,-0.905,,"69,131","584,380"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-16,106.13,106.17,106.415,105.54,106.345,106.29,0.16,51,"71,665","589,087"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-19,106.29,106.365,106.74,106.08,106.57,106.6,0.31,47,"22,952","589,140"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-20,106.6,106.62,107.385,106.59,107.34,107.34,0.74,49,"35,547","584,975"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-21,107.34,107.325,107.92,107.27,107.78,107.75,0.41,148,"38,928","580,842"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-22,107.75,107.76,107.78,106.585,106.78,106.78,-0.97,52,"43,407","586,428"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-23,106.78,106.78,107.15,106.5,106.905,106.905,0.125,52,"27,178","587,673"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-26,106.905,107.065,107.155,106.37,106.98,106.96,0.055,65,"32,455","593,312"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-27,106.96,107.01,107.69,106.78,107.38,107.38,0.42,54,"33,660","585,919"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-02-28,107.38,107.37,107.53,106.55,106.72,106.7,-0.68,156,"29,957","590,863"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-01,106.7,106.695,107.22,106.15,106.26,106.26,-0.44,49,"33,203","595,346"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-02,106.26,106.11,106.31,105.235,105.7,105.725,-0.535,47,"74,735","609,461"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-05,105.725,105.64,106.25,105.34,106.22,106.22,0.495,47,"32,243","608,027"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-06,106.22,106.21,106.465,105.84,106.145,106.145,-0.075,48,"33,061","603,488"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-07,106.145,105.625,106.215,105.45,106.065,106.065,-0.08,141,"40,538","605,308"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-08,106.065,106.1,106.33,105.88,106.195,106.175,0.11,47,"19,457","601,514"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-09,106.175,106.305,107.06,106.25,106.825,106.825,0.65,50,"41,286","591,462"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-12,106.825,106.835,106.985,106.3,106.405,106.405,-0.42,49,"25,534","592,603"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-13,106.405,106.455,107.3,106.24,106.57,106.57,0.165,48,"36,030","588,923"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-14,106.57,106.485,106.76,106.065,106.315,106.315,-0.255,141,"33,909","601,585"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-15,106.315,106.305,106.425,105.77,106.365,106.345,0.03,48,"43,255","613,515"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-16,106.345,106.345,106.37,105.59,106.045,106.045,-0.3,90,"38,733","628,653"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-19,106.045,106.005,106.32,105.66,106.055,106.055,0.01,53,"41,355","608,419"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-20,106.055,106.01,106.62,105.925,106.55,106.55,0.495,,"30,470","600,287"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-21,106.55,106.51,106.65,105.87,106.045,106.045,-0.505,160,"25,104","602,007"
USD/JPY,"U.S. Dollar-Japanese Yen",2018-03-22,106.045,106.08,106.1,105.25,105.295,105.295,-0.75,50,"54,374","609,365"
